#x	y	z	Twist	Chord	Pitch_axis_aft_LE	Relative thickness
#[m]	[m]	[m]	[deg]	[m]	[-]	[-]
0.000000000000E+00	-2.745859616747E-01	3.222141809698E+01	-6.399210925737E+00	6.024069229375E+00	3.577534282908E-01	3.247459324788E+01
0.000000000000E+00	-2.894599727510E-01	3.302876823206E+01	-6.239446272980E+00	5.984190901522E+00	3.563385161661E-01	3.193508486844E+01
0.000000000000E+00	-3.049619537372E-01	3.384037077412E+01	-6.079704597696E+00	5.941047352245E+00	3.550595678876E-01	3.143063442205E+01
0.000000000000E+00	-3.211043546345E-01	3.465580370260E+01	-5.921748214312E+00	5.894867976601E+00	3.538969987609E-01	3.095752587277E+01
0.000000000000E+00	-3.378985717743E-01	3.547463221189E+01	-5.767225568744E+00	5.845895913869E+00	3.528303704579E-01	3.051184617629E+01
0.000000000000E+00	-3.553549427666E-01	3.629641401231E+01	-5.617997652465E+00	5.794383336343E+00	3.518499738261E-01	3.008977979970E+01
0.000000000000E+00	-3.734826667007E-01	3.712070021030E+01	-5.472799026021E+00	5.740578108021E+00	3.510000024517E-01	2.968864181454E+01
0.000000000000E+00	-3.922897215461E-01	3.794703632111E+01	-5.328234131751E+00	5.684733018076E+00	3.503411713791E-01	2.930602025372E+01
0.000000000000E+00	-4.117827870578E-01	3.877496328047E+01	-5.181011272501E+00	5.627108631970E+00	3.499343724104E-01	2.893942594859E+01
0.000000000000E+00	-4.319671469059E-01	3.960401842457E+01	-5.032535295383E+00	5.567921898054E+00	3.497928545918E-01	2.858720013877E+01
0.000000000000E+00	-4.528465932138E-01	4.043373648325E+01	-4.883083792428E+00	5.507289067480E+00	3.498290566057E-01	2.824952322589E+01
0.000000000000E+00	-4.744234167579E-01	4.126365068490E+01	-4.731155764150E+00	5.445316740429E+00	3.499419486602E-01	2.792678040695E+01
0.000000000000E+00	-4.966983611457E-01	4.209329381394E+01	-4.575366335648E+00	5.382114834024E+00	3.500321146492E-01	2.761931544994E+01
0.000000000000E+00	-5.196705582246E-01	4.292219920963E+01	-4.415909507700E+00	5.317801555495E+00	3.500574918050E-01	2.732719785076E+01
0.000000000000E+00	-5.433374882049E-01	4.374990180852E+01	-4.253769320977E+00	5.252503621747E+00	3.500412969983E-01	2.705019075616E+01
0.000000000000E+00	-5.676949727269E-01	4.457593924721E+01	-4.089881907806E+00	5.186349550095E+00	3.500101612967E-01	2.678801185491E+01
0.000000000000E+00	-5.927371503491E-01	4.539985289011E+01	-3.924752323364E+00	5.119468604949E+00	3.499890967563E-01	2.654035603444E+01
0.000000000000E+00	-6.184563966176E-01	4.622118877586E+01	-3.757703036544E+00	5.051988816288E+00	3.499845761163E-01	2.630696896844E+01
0.000000000000E+00	-6.448433439576E-01	4.703949862805E+01	-3.589501740223E+00	4.984036855810E+00	3.499898865543E-01	2.608762600287E+01
0.000000000000E+00	-6.718870920068E-01	4.785434532680E+01	-3.421054568831E+00	4.915738186180E+00	3.499981506610E-01	2.588207740801E+01
0.000000000000E+00	-6.995746262070E-01	4.866528597845E+01	-3.252702977451E+00	4.847217995337E+00	3.500032036025E-01	2.569005041915E+01
0.000000000000E+00	-7.278917150692E-01	4.947189955484E+01	-3.083894936848E+00	4.778598012293E+00	3.500040875259E-01	2.551122120699E+01
0.000000000000E+00	-7.568223650888E-01	5.027376989493E+01	-2.915412114025E+00	4.709997740972E+00	3.500025772439E-01	2.534523420186E+01
0.000000000000E+00	-7.863490216832E-01	5.107049104134E+01	-2.748082706336E+00	4.641533876191E+00	3.500004183813E-01	2.519171718257E+01
0.000000000000E+00	-8.164526338181E-01	5.186166799950E+01	-2.582180686136E+00	4.573320225518E+00	3.499991364544E-01	2.505028619233E+01
0.000000000000E+00	-8.471128057433E-01	5.264691738322E+01	-2.417224654249E+00	4.505469858708E+00	3.499989148346E-01	2.492056707049E+01
0.000000000000E+00	-8.783078051432E-01	5.342586813206E+01	-2.253843218583E+00	4.438093096669E+00	3.499993024792E-01	2.480218498784E+01
0.000000000000E+00	-9.100145831856E-01	5.419816217156E+01	-2.092682354035E+00	4.371295671000E+00	3.499998634695E-01	2.469475497771E+01
0.000000000000E+00	-9.422088426187E-01	5.496345496859E+01	-1.933950469372E+00	4.305176063401E+00	3.500002133686E-01	2.459787796205E+01
0.000000000000E+00	-9.748650206725E-01	5.572141597749E+01	-1.777145310267E+00	4.239804533402E+00	3.500002885019E-01	2.451109182355E+01
0.000000000000E+00	-1.007956436810E+00	5.647172912090E+01	-1.622863548195E+00	4.175234219304E+00	3.500002003653E-01	2.443390091538E+01
0.000000000000E+00	-1.041455457876E+00	5.721409322024E+01	-1.471731584512E+00	4.111514858156E+00	3.500000564510E-01	2.436581182768E+01
0.000000000000E+00	-1.075333646332E+00	5.794822232335E+01	-1.324129084628E+00	4.048692674352E+00	3.499999544969E-01	2.430634415463E+01
0.000000000000E+00	-1.109562691031E+00	5.867384588076E+01	-1.179509320211E+00	3.986806762210E+00	3.499999244287E-01	2.425518178933E+01
0.000000000000E+00	-1.144114341010E+00	5.939070898387E+01	-1.038099099562E+00	3.925889788072E+00	3.499999401852E-01	2.421214347090E+01
0.000000000000E+00	-1.178959712186E+00	6.009857262178E+01	-9.002334609484E-01	3.865971416407E+00	3.499999755251E-01	2.417703957515E+01
0.000000000000E+00	-1.214069355561E+00	6.079721379109E+01	-7.661924820086E-01	3.807078443791E+00	3.500000061251E-01	2.414966512037E+01
0.000000000000E+00	-1.249412286244E+00	6.148642557160E+01	-6.356961321794E-01	3.749235352214E+00	3.500000186151E-01	2.412947537398E+01
0.000000000000E+00	-1.284955226514E+00	6.216601714518E+01	-5.086717589319E-01	3.692464769510E+00	3.500000178115E-01	2.411532604418E+01
0.000000000000E+00	-1.320664700854E+00	6.283581370174E+01	-3.852279496365E-01	3.636786532191E+00	3.500000100814E-01	2.410607458378E+01
0.000000000000E+00	-1.356507384583E+00	6.349565633520E+01	-2.654570418269E-01	3.582217621675E+00	3.500000012898E-01	2.410065468133E+01
0.000000000000E+00	-1.392450281489E+00	6.414540188954E+01	-1.493086415576E-01	3.528772180065E+00	3.499999962017E-01	2.409808240368E+01
0.000000000000E+00	-1.428461464233E+00	6.478492619489E+01	-3.658225251809E-02	3.476461002969E+00	3.499999950311E-01	2.409749144022E+01
0.000000000000E+00	-1.464509014138E+00	6.541410991166E+01	7.270424764351E-02	3.425293011343E+00	3.499999962428E-01	2.409810319927E+01
0.000000000000E+00	-1.500562051670E+00	6.603285933585E+01	1.785387858663E-01	3.375273787622E+00	3.499999984275E-01	2.409920612200E+01
0.000000000000E+00	-1.536590033637E+00	6.664109201238E+01	2.809181842320E-01	3.326406830871E+00	3.500000003074E-01	2.410015520890E+01
0.000000000000E+00	-1.572563845286E+00	6.723873986428E+01	3.798856254878E-01	3.278693556135E+00	3.500000011526E-01	2.410058188273E+01
0.000000000000E+00	-1.608456714621E+00	6.782574875525E+01	4.755960133565E-01	3.232133593769E+00	3.500000012084E-01	2.410061005578E+01
0.000000000000E+00	-1.644242573053E+00	6.840207824858E+01	5.682150445598E-01	3.186724517692E+00	3.500000008146E-01	2.410041124616E+01
0.000000000000E+00	-1.679895878765E+00	6.896770121395E+01	6.578994471367E-01	3.142461907226E+00	3.500000002779E-01	2.410014027477E+01
0.000000000000E+00	-1.715391659469E+00	6.952260339234E+01	7.447587974603E-01	3.099339415983E+00	3.499999998698E-01	2.409993425698E+01
0.000000000000E+00	-1.750704582337E+00	7.006678297955E+01	8.286258876228E-01	3.057346930446E+00	3.499999997016E-01	2.409984933992E+01
0.000000000000E+00	-1.785808838343E+00	7.060025016334E+01	9.097078760313E-01	3.016470348018E+00	3.499999997034E-01	2.409985025148E+01
0.000000000000E+00	-1.820679569585E+00	7.112302658927E+01	9.882892118311E-01	2.976694413110E+00	3.499999998011E-01	2.409989956595E+01
0.000000000000E+00	-1.855293188891E+00	7.163514764445E+01	1.064629273444E+00	2.938002792204E+00	3.499999999284E-01	2.409996385433E+01
0.000000000000E+00	-1.889626450849E+00	7.213664806349E+01	1.138922833383E+00	2.900379148479E+00	3.500000000271E-01	2.410001369875E+01
0.000000000000E+00	-1.923658015702E+00	7.262759191341E+01	1.210913506435E+00	2.863801731823E+00	3.500000000712E-01	2.410003594864E+01
0.000000000000E+00	-1.957365452649E+00	7.310803099127E+01	1.280700130528E+00	2.828245384313E+00	3.500000000753E-01	2.410003800349E+01
0.000000000000E+00	-1.990729071366E+00	7.357804733868E+01	1.348513007480E+00	2.793683440255E+00	3.500000000555E-01	2.410002802211E+01
0.000000000000E+00	-2.023729033638E+00	7.403771057391E+01	1.414556618563E+00	2.760091301580E+00	3.500000000262E-01	2.410001323381E+01
0.000000000000E+00	-2.056348268419E+00	7.448711863069E+01	1.479017014553E+00	2.727443406926E+00	3.500000000000E-01	2.409999999718E+01
0.000000000000E+00	-2.088570377727E+00	7.492635685720E+01	1.541817426385E+00	2.695719501809E+00	3.499999999855E-01	2.409999268346E+01
0.000000000000E+00	-2.120384702106E+00	7.535553677415E+01	1.602865799437E+00	2.664910824249E+00	3.499999999812E-01	2.409999052716E+01
0.000000000000E+00	-2.151780660976E+00	7.577475727936E+01	1.662292404312E+00	2.635011444143E+00	3.499999999836E-01	2.409999173420E+01
0.000000000000E+00	-2.182749693924E+00	7.618414190070E+01	1.720217170176E+00	2.606012202423E+00	3.499999999895E-01	2.409999472306E+01
0.000000000000E+00	-2.213282524755E+00	7.658380153870E+01	1.776745402841E+00	2.577903520336E+00	3.499999999963E-01	2.409999810939E+01
0.000000000000E+00	-2.243371857013E+00	7.697386993517E+01	1.831960539660E+00	2.550672651889E+00	3.500000000014E-01	2.410000069969E+01
0.000000000000E+00	-2.273007633012E+00	7.735446831313E+01	1.885768203505E+00	2.524283895719E+00	3.500000000039E-01	2.410000197297E+01
0.000000000000E+00	-2.302178895148E+00	7.772573923351E+01	1.938187679591E+00	2.498667879014E+00	3.500000000045E-01	2.410000225499E+01
0.000000000000E+00	-2.330874557905E+00	7.808781251827E+01	1.989284703533E+00	2.473760484568E+00	3.500000000038E-01	2.410000189827E+01
0.000000000000E+00	-2.359086211197E+00	7.844083740757E+01	2.039121320868E+00	2.449503398774E+00	3.500000000024E-01	2.410000121086E+01
0.000000000000E+00	-2.386805534325E+00	7.878495039883E+01	2.087751889802E+00	2.425845734361E+00	3.500000000009E-01	2.410000046003E+01
0.000000000000E+00	-2.414026716877E+00	7.912030585527E+01	2.135227928172E+00	2.402741181706E+00	3.499999999998E-01	2.409999987485E+01
0.000000000000E+00	-2.440745453207E+00	7.944704532588E+01	2.181577532243E+00	2.380130605003E+00	3.499999999991E-01	2.409999956585E+01
0.000000000000E+00	-2.466962269254E+00	7.976532655166E+01	2.226789575849E+00	2.357926766632E+00	3.499999999990E-01	2.409999947171E+01
0.000000000000E+00	-2.492677262932E+00	8.007529470196E+01	2.270850084090E+00	2.336052077936E+00	3.499999999991E-01	2.409999952195E+01
0.000000000000E+00	-2.517892062000E+00	8.037711002033E+01	2.313752059162E+00	2.314439768394E+00	3.499999999993E-01	2.409999965528E+01
0.000000000000E+00	-2.542607834256E+00	8.067092349942E+01	2.355491579841E+00	2.293034418073E+00	3.499999999996E-01	2.409999981880E+01
0.000000000000E+00	-2.566826154064E+00	8.095688718990E+01	2.396068852527E+00	2.271790149022E+00	3.499999999999E-01	2.409999996718E+01
0.000000000000E+00	-2.590549580345E+00	8.123516296045E+01	2.435543018784E+00	2.250668751939E+00	3.500000000001E-01	2.410000006513E+01
0.000000000000E+00	-2.613778315812E+00	8.150590062191E+01	2.474027784174E+00	2.229638946290E+00	3.500000000002E-01	2.410000011139E+01
0.000000000000E+00	-2.636513353204E+00	8.176926202334E+01	2.511476174251E+00	2.208674704096E+00	3.500000000002E-01	2.410000012028E+01
0.000000000000E+00	-2.658755431773E+00	8.202539698284E+01	2.547842706588E+00	2.187757275496E+00	3.500000000002E-01	2.410000010440E+01
0.000000000000E+00	-2.680506987224E+00	8.227446619442E+01	2.583094155063E+00	2.166872587996E+00	3.500000000001E-01	2.410000007462E+01
0.000000000000E+00	-2.701770146901E+00	8.251661855382E+01	2.617205233908E+00	2.146012375640E+00	3.500000000001E-01	2.410000004026E+01
0.000000000000E+00	-2.722548587311E+00	8.275201283902E+01	2.650160648158E+00	2.125171699882E+00	3.500000000000E-01	2.410000000923E+01
0.000000000000E+00	-2.742845667764E+00	8.298079628479E+01	2.681992614837E+00	2.104351322665E+00	3.500000000000E-01	2.409999998782E+01
